CUSTOMER_ID,CUSTOMER_NAME,AGE,MARITAL_STATUS,EMPLOYMENT_STATUS,NO_OF_FAMILY_MEMBERS,HOUSE_TYPE,SOCIAL_CLASS,CUSTOMER_EDUCATION_LEVEL,TENURE,SSN,STATE,IS_FRAUD
CUST00053,Customer_53,45,Married,Retired,7,Leased,Lower,Bachelor,5,530-30-3837,CA,0
CUST00054,Customer_54,70,Divorced,Self-Employed,7,Leased,Middle,None,10,609-22-1950,NC,0
CUST00055,Customer_55,55,Divorced,Unemployed,1,Rented,Middle,Master,13,796-84-3820,IL,0
CUST00056,Customer_56,66,Single,Employed,3,Owned,Middle,PhD,3,223-51-2565,MI,0
CUST00057,Customer_57,73,Single,Retired,3,Leased,Middle,Bachelor,19,888-16-5531,WA,0
CUST00058,Customer_58,35,Divorced,Unemployed,3,Owned,Lower,None,5,442-51-7818,NC,0
CUST00059,Customer_59,29,Married,Self-Employed,6,Rented,Middle,Master,8,335-90-9801,TX,1
CUST00060,Customer_60,27,Divorced,Retired,3,Leased,Lower,None,1,490-44-3115,WA,1
CUST00061,Customer_61,55,Widowed,Self-Employed,2,Rented,Middle,Master,12,831-74-5047,NC,0
CUST00062,Customer_62,68,Widowed,Self-Employed,3,Leased,Middle,High School,12,718-42-7134,CA,0
CUST00063,Customer_63,78,Single,Retired,6,Owned,Middle,Bachelor,3,837-49-6995,TX,0
CUST00064,Customer_64,20,Married,Employed,3,Leased,Upper,Master,6,608-16-1557,WA,0
CUST00065,Customer_65,18,Single,Unemployed,2,Owned,Middle,High School,15,336-32-2708,MI,0
CUST00066,Customer_66,60,Divorced,Unemployed,6,Leased,Middle,PhD,14,933-63-1375,IL,0
CUST00067,Customer_67,34,Divorced,Unemployed,1,Leased,Lower,Bachelor,6,912-36-9891,WA,0
CUST00068,Customer_68,47,Widowed,Retired,4,Owned,Lower,None,12,303-17-2172,IL,0
CUST00069,Customer_69,22,Married,Self-Employed,1,Rented,Middle,None,15,447-92-5970,MI,1
CUST00070,Customer_70,22,Married,Employed,5,Rented,Middle,High School,8,213-38-5403,OH,0
CUST00071,Customer_71,50,Divorced,Self-Employed,7,Leased,Lower,Bachelor,4,589-84-1410,GA,0
CUST00072,Customer_72,60,Single,Employed,4,Leased,Middle,PhD,1,103-74-1976,CA,0
CUST00073,Customer_73,72,Single,Unemployed,7,Owned,Upper,None,19,714-40-4492,WA,0
CUST00074,Customer_74,47,Divorced,Unemployed,7,Rented,Middle,None,7,232-78-2643,TX,0
CUST00075,Customer_75,58,Married,Retired,6,Leased,Middle,High School,16,107-62-2364,FL,1
CUST00076,Customer_76,71,Married,Self-Employed,2,Owned,Middle,Bachelor,7,253-29-6748,IL,0
CUST00077,Customer_77,44,Widowed,Retired,1,Rented,Middle,High School,14,776-91-9837,NC,0
CUST00078,Customer_78,30,Single,Retired,1,Owned,Middle,Bachelor,7,306-29-2910,NC,0
CUST00079,Customer_79,69,Widowed,Retired,3,Leased,Middle,PhD,12,268-11-6288,GA,0
CUST00080,Customer_80,18,Divorced,Unemployed,3,Leased,Middle,Bachelor,19,113-13-4569,MI,0
CUST00081,Customer_81,35,Married,Employed,2,Owned,Middle,PhD,15,828-53-4577,GA,0
CUST00082,Customer_82,26,Widowed,Employed,7,Leased,Middle,Bachelor,4,264-70-3906,TX,0
CUST00083,Customer_83,57,Divorced,Retired,6,Leased,Lower,Master,10,995-22-8068,NC,0
CUST00084,Customer_84,34,Married,Retired,5,Owned,Upper,Master,6,712-42-4536,FL,0
CUST00085,Customer_85,39,Married,Retired,5,Rented,Middle,Bachelor,5,964-75-1387,OH,1
CUST00086,Customer_86,58,Married,Unemployed,5,Rented,Middle,High School,16,594-75-4395,GA,1
CUST00087,Customer_87,36,Widowed,Retired,7,Rented,Middle,Bachelor,19,720-65-3952,NY,0
CUST00088,Customer_88,40,Married,Self-Employed,3,Rented,Middle,PhD,18,106-13-7212,NY,0
CUST00089,Customer_89,48,Single,Employed,1,Leased,Middle,PhD,16,797-43-5282,FL,0
CUST00090,Customer_90,25,Divorced,Self-Employed,3,Rented,Middle,High School,9,561-88-5710,FL,0
CUST00091,Customer_91,75,Widowed,Retired,2,Rented,Middle,Bachelor,10,613-59-2171,WA,0
CUST00092,Customer_92,78,Married,Unemployed,7,Leased,Middle,None,11,731-90-1995,NY,0
CUST00093,Customer_93,62,Widowed,Retired,4,Owned,Middle,None,14,164-53-7882,IL,0
CUST00094,Customer_94,24,Married,Retired,3,Rented,Lower,High School,2,174-76-3107,NC,0
CUST00095,Customer_95,47,Married,Retired,1,Leased,Lower,PhD,16,264-26-5734,FL,0
CUST00096,Customer_96,40,Divorced,Employed,5,Leased,Middle,PhD,16,638-51-6454,TX,0
CUST00097,Customer_97,28,Single,Employed,5,Owned,Middle,High School,19,823-83-7561,FL,0
CUST00098,Customer_98,72,Widowed,Self-Employed,6,Rented,Lower,Bachelor,12,569-29-7701,CA,1
CUST00099,Customer_99,43,Divorced,Employed,1,Owned,Middle,High School,9,705-89-7410,IL,1
CUST00100,Customer_100,58,Married,Retired,5,Leased,Middle,PhD,10,220-60-7488,CA,0
CUST00101,Customer_101,60,Single,Employed,3,Leased,Lower,None,12,996-39-8740,NY,0
CUST00102,Customer_102,37,Divorced,Self-Employed,2,Owned,Middle,High School,6,349-43-9665,OH,0
CUST00103,Customer_103,39,Divorced,Unemployed,2,Leased,Middle,Bachelor,15,247-28-8517,FL,0
CUST00104,Customer_104,78,Widowed,Employed,3,Leased,Middle,Master,9,922-19-8412,FL,0
CUST00105,Customer_105,69,Married,Unemployed,6,Rented,Lower,High School,6,629-88-5471,GA,0
CUST00106,Customer_106,49,Single,Employed,1,Owned,Middle,Bachelor,14,626-30-6261,OH,0
CUST00107,Customer_107,51,Married,Retired,7,Owned,Lower,Bachelor,7,476-45-3517,NC,0
CUST00108,Customer_108,18,Widowed,Unemployed,7,Leased,Upper,High School,2,460-24-8655,MI,0
CUST00109,Customer_109,30,Widowed,Self-Employed,7,Owned,Middle,PhD,10,464-44-9814,FL,1
CUST00110,Customer_110,18,Married,Unemployed,6,Leased,Upper,PhD,10,537-72-9966,FL,0
CUST00111,Customer_111,67,Single,Self-Employed,3,Owned,Lower,High School,6,875-41-5792,OH,0
CUST00112,Customer_112,76,Single,Employed,3,Rented,Upper,High School,1,839-54-3494,TX,0
CUST00113,Customer_113,28,Divorced,Employed,1,Owned,Lower,High School,10,575-12-8927,NC,0
CUST00114,Customer_114,35,Single,Employed,7,Leased,Middle,None,15,633-32-5313,CA,0
CUST00115,Customer_115,39,Divorced,Unemployed,6,Leased,Lower,Master,16,128-80-5777,NY,0
CUST00116,Customer_116,68,Single,Unemployed,2,Owned,Middle,Master,5,103-50-1634,WA,0
CUST00117,Customer_117,43,Married,Self-Employed,7,Rented,Middle,High School,9,448-86-6884,NC,0
CUST00118,Customer_118,20,Widowed,Unemployed,1,Rented,Upper,High School,18,532-55-5556,OH,0
CUST00119,Customer_119,54,Married,Self-Employed,6,Rented,Middle,None,7,187-30-8347,CA,0
CUST00120,Customer_120,27,Divorced,Employed,1,Rented,Middle,None,10,932-22-9228,MI,0
CUST00121,Customer_121,58,Married,Unemployed,6,Leased,Upper,Master,13,127-55-8446,IL,0
CUST00122,Customer_122,71,Widowed,Self-Employed,7,Owned,Lower,High School,9,295-94-9844,MI,0
CUST00123,Customer_123,22,Married,Unemployed,7,Owned,Upper,High School,16,481-89-1712,NC,1
CUST00124,Customer_124,79,Widowed,Unemployed,2,Leased,Middle,None,7,568-36-6636,WA,0
CUST00125,Customer_125,59,Widowed,Employed,2,Owned,Middle,Master,10,325-49-7585,TX,1
CUST00126,Customer_126,21,Married,Employed,1,Leased,Middle,Bachelor,10,285-84-7132,MI,0
CUST00127,Customer_127,31,Single,Employed,6,Owned,Middle,High School,15,325-69-3860,NC,0
CUST00128,Customer_128,28,Widowed,Employed,2,Rented,Lower,Master,7,592-64-8329,FL,1
CUST00129,Customer_129,72,Divorced,Employed,3,Leased,Middle,None,6,413-50-4982,MI,1
CUST00130,Customer_130,62,Widowed,Retired,3,Leased,Middle,None,7,873-84-2952,OH,0
CUST00131,Customer_131,41,Married,Retired,3,Leased,Upper,PhD,5,194-95-2503,GA,0
CUST00132,Customer_132,50,Married,Retired,4,Rented,Upper,High School,4,284-20-2440,WA,0
CUST00133,Customer_133,39,Single,Self-Employed,3,Rented,Middle,PhD,16,156-63-5588,OH,0
CUST00134,Customer_134,43,Widowed,Self-Employed,2,Rented,Lower,PhD,7,183-68-2511,GA,0
CUST00135,Customer_135,57,Widowed,Self-Employed,3,Leased,Middle,None,6,583-74-4833,MI,0
CUST00136,Customer_136,30,Widowed,Retired,6,Leased,Middle,High School,16,377-89-8200,NC,1
CUST00137,Customer_137,65,Married,Self-Employed,1,Rented,Upper,None,15,859-23-3458,GA,0
CUST00138,Customer_138,76,Married,Unemployed,7,Rented,Lower,PhD,5,446-24-4476,WA,0
CUST00139,Customer_139,78,Married,Employed,3,Leased,Middle,PhD,6,322-52-7365,WA,0
CUST00140,Customer_140,28,Single,Retired,3,Owned,Middle,High School,16,468-74-4480,GA,1
CUST00141,Customer_141,43,Single,Unemployed,4,Leased,Upper,None,6,544-39-1762,CA,0
CUST00142,Customer_142,34,Married,Retired,7,Rented,Upper,High School,17,113-26-6548,GA,0
CUST00143,Customer_143,57,Divorced,Self-Employed,6,Owned,Middle,Bachelor,12,189-52-2194,NY,0
CUST00144,Customer_144,38,Widowed,Unemployed,6,Rented,Upper,High School,13,435-34-2902,OH,0
CUST00145,Customer_145,42,Widowed,Self-Employed,2,Leased,Middle,Bachelor,11,563-89-6876,NY,0
CUST00146,Customer_146,26,Divorced,Self-Employed,7,Rented,Middle,PhD,1,313-85-9287,NY,0
CUST00147,Customer_147,52,Widowed,Self-Employed,5,Rented,Lower,None,16,780-29-2508,WA,0
CUST00148,Customer_148,51,Widowed,Employed,1,Rented,Upper,None,11,973-89-4778,FL,0
CUST00149,Customer_149,52,Divorced,Self-Employed,3,Rented,Middle,High School,4,510-57-8996,TX,0
CUST00150,Customer_150,39,Widowed,Unemployed,6,Owned,Middle,None,16,368-70-9451,GA,1
CUST00151,Customer_151,64,Widowed,Employed,4,Owned,Middle,High School,6,369-35-2209,GA,0
CUST00152,Customer_152,55,Single,Self-Employed,5,Leased,Upper,PhD,7,756-34-1184,WA,0
CUST00153,Customer_153,28,Married,Employed,3,Leased,Upper,High School,13,551-59-1157,CA,1
CUST00154,Customer_154,40,Widowed,Unemployed,1,Rented,Upper,None,6,766-59-5237,WA,0
CUST00155,Customer_155,58,Single,Self-Employed,7,Owned,Middle,Bachelor,1,408-67-7756,MI,1
CUST00156,Customer_156,25,Divorced,Employed,6,Leased,Upper,None,7,790-44-5501,FL,0
CUST00157,Customer_157,39,Married,Unemployed,2,Rented,Middle,Master,13,328-29-8760,MI,0
CUST00158,Customer_158,72,Divorced,Retired,2,Leased,Middle,Master,9,456-34-7576,MI,0
CUST00159,Customer_159,45,Widowed,Retired,4,Owned,Middle,Master,14,726-34-2571,TX,0
CUST00160,Customer_160,49,Married,Retired,6,Rented,Middle,Bachelor,2,668-91-2334,CA,0
CUST00161,Customer_161,60,Single,Employed,1,Rented,Middle,Master,5,315-92-7593,GA,1
CUST00162,Customer_162,37,Married,Employed,5,Rented,Middle,PhD,5,642-39-5213,OH,0
CUST00163,Customer_163,69,Divorced,Retired,6,Rented,Lower,High School,2,270-82-5512,MI,0
CUST00164,Customer_164,19,Married,Unemployed,4,Rented,Upper,High School,13,816-88-1875,WA,1
CUST00165,Customer_165,47,Divorced,Unemployed,1,Owned,Upper,Master,4,875-37-3949,TX,0
CUST00166,Customer_166,55,Married,Retired,1,Leased,Lower,None,9,512-36-4064,WA,0
CUST00167,Customer_167,32,Divorced,Employed,2,Owned,Middle,Bachelor,19,723-38-6470,MI,0
CUST00168,Customer_168,66,Single,Unemployed,7,Leased,Middle,Master,5,416-38-2278,GA,0
CUST00169,Customer_169,22,Married,Unemployed,4,Rented,Lower,None,4,876-20-5982,NY,0
CUST00170,Customer_170,58,Married,Retired,2,Rented,Middle,Bachelor,18,334-97-1630,GA,0
CUST00171,Customer_171,57,Divorced,Self-Employed,7,Owned,Middle,Bachelor,7,482-55-9879,OH,0
CUST00172,Customer_172,66,Divorced,Unemployed,6,Rented,Upper,None,6,237-84-1608,NY,0
CUST00173,Customer_173,30,Divorced,Retired,2,Owned,Middle,Master,14,360-84-4391,CA,0
CUST00174,Customer_174,27,Widowed,Self-Employed,5,Rented,Middle,High School,3,628-44-9084,NC,0
CUST00175,Customer_175,53,Widowed,Employed,3,Owned,Lower,Bachelor,8,182-97-3105,NY,0
CUST00176,Customer_176,78,Single,Self-Employed,1,Owned,Middle,None,4,633-33-8162,FL,1
CUST00177,Customer_177,66,Divorced,Unemployed,1,Leased,Middle,None,17,733-24-3217,NY,0
CUST00178,Customer_178,31,Single,Self-Employed,4,Rented,Lower,None,6,727-54-5945,CA,0
CUST00179,Customer_179,43,Married,Unemployed,6,Owned,Lower,Master,11,429-70-9361,NY,0
CUST00180,Customer_180,34,Divorced,Self-Employed,7,Owned,Upper,PhD,10,194-71-9421,MI,0
CUST00181,Customer_181,66,Married,Employed,5,Rented,Middle,High School,10,299-47-6099,NC,0
CUST00182,Customer_182,49,Divorced,Retired,7,Owned,Middle,PhD,2,797-71-9914,CA,0
CUST00183,Customer_183,45,Widowed,Retired,2,Rented,Lower,Master,5,600-87-5679,NY,0
CUST00184,Customer_184,18,Divorced,Unemployed,2,Leased,Lower,High School,17,380-70-4617,GA,0
CUST00185,Customer_185,57,Divorced,Self-Employed,1,Rented,Middle,None,11,691-67-1663,WA,0
CUST00186,Customer_186,45,Widowed,Self-Employed,2,Rented,Middle,Master,17,583-11-4692,IL,0
CUST00187,Customer_187,20,Divorced,Self-Employed,6,Rented,Upper,None,11,690-68-1929,WA,0
CUST00188,Customer_188,30,Single,Self-Employed,2,Owned,Middle,None,7,917-75-3785,CA,1
CUST00189,Customer_189,63,Divorced,Employed,4,Rented,Middle,Master,7,504-21-4263,WA,0
CUST00190,Customer_190,64,Married,Self-Employed,6,Owned,Middle,High School,15,707-88-6305,TX,0
CUST00191,Customer_191,48,Single,Self-Employed,7,Leased,Middle,High School,5,354-90-5898,NC,0
CUST00192,Customer_192,64,Widowed,Self-Employed,2,Leased,Middle,Bachelor,12,767-73-4573,TX,0
CUST00193,Customer_193,63,Widowed,Self-Employed,2,Leased,Middle,Bachelor,18,118-66-9027,WA,1
CUST00194,Customer_194,56,Divorced,Unemployed,1,Owned,Lower,Bachelor,17,875-86-4126,FL,0
CUST00195,Customer_195,30,Divorced,Retired,1,Rented,Middle,None,8,914-11-3848,NY,0
CUST00196,Customer_196,44,Divorced,Self-Employed,3,Owned,Lower,PhD,6,663-37-1233,GA,0
CUST00197,Customer_197,68,Married,Employed,3,Rented,Middle,High School,12,256-93-4852,CA,0
CUST00198,Customer_198,37,Widowed,Retired,7,Rented,Middle,PhD,12,251-65-4367,OH,0
CUST00199,Customer_199,58,Divorced,Employed,4,Rented,Middle,High School,14,453-94-5884,FL,0
CUST00200,Customer_200,69,Married,Retired,3,Leased,Middle,High School,2,171-93-1039,IL,0
CUST00201,Customer_201,51,Divorced,Unemployed,4,Leased,Lower,PhD,11,717-19-3446,NY,0
CUST00202,Customer_202,49,Single,Unemployed,6,Owned,Upper,Bachelor,1,986-25-9744,MI,0
CUST00203,Customer_203,29,Married,Self-Employed,3,Rented,Lower,Master,19,363-44-9435,IL,0
CUST00204,Customer_204,48,Single,Unemployed,2,Leased,Lower,None,17,767-36-7622,NC,1
CUST00205,Customer_205,20,Single,Unemployed,3,Leased,Middle,Bachelor,15,528-18-3268,CA,1
CUST00206,Customer_206,25,Widowed,Retired,5,Owned,Upper,High School,6,311-52-8999,GA,0
CUST00207,Customer_207,51,Married,Employed,3,Leased,Upper,None,15,611-24-6465,NY,1
CUST00208,Customer_208,31,Widowed,Employed,5,Leased,Upper,Bachelor,9,568-44-3197,OH,0
CUST00209,Customer_209,39,Divorced,Self-Employed,3,Leased,Upper,PhD,13,740-59-4865,MI,1
CUST00210,Customer_210,40,Single,Employed,7,Leased,Upper,High School,5,276-20-2941,GA,0
CUST00211,Customer_211,47,Single,Retired,7,Rented,Lower,High School,10,657-14-1645,NY,0
CUST00212,Customer_212,61,Married,Employed,6,Rented,Middle,PhD,17,990-33-2017,FL,0
CUST00213,Customer_213,45,Single,Employed,6,Rented,Lower,None,4,967-46-1009,MI,0
CUST00214,Customer_214,70,Divorced,Self-Employed,1,Rented,Middle,High School,8,475-11-3732,FL,0
CUST00215,Customer_215,47,Married,Self-Employed,5,Owned,Middle,None,6,949-80-4761,CA,0
CUST00216,Customer_216,79,Single,Self-Employed,3,Leased,Lower,Bachelor,4,403-61-6628,FL,0
CUST00217,Customer_217,79,Divorced,Unemployed,6,Rented,Middle,None,8,782-58-1695,CA,1
CUST00218,Customer_218,44,Widowed,Unemployed,1,Leased,Middle,Master,12,876-39-8374,NC,1
CUST00219,Customer_219,65,Widowed,Retired,2,Rented,Lower,PhD,2,828-29-5632,MI,0
CUST00220,Customer_220,46,Married,Self-Employed,2,Leased,Lower,High School,4,774-41-8132,IL,0
CUST00221,Customer_221,72,Single,Retired,4,Owned,Middle,High School,16,570-91-9068,GA,0
CUST00222,Customer_222,65,Widowed,Employed,7,Owned,Lower,None,5,965-29-7631,WA,0
CUST00223,Customer_223,38,Divorced,Employed,7,Owned,Middle,High School,7,775-50-2514,WA,0
CUST00224,Customer_224,37,Widowed,Self-Employed,4,Leased,Middle,None,13,363-55-8781,CA,0
CUST00225,Customer_225,72,Single,Employed,1,Owned,Middle,High School,15,923-91-9516,CA,0
CUST00226,Customer_226,51,Married,Employed,7,Rented,Middle,PhD,19,187-98-5988,NY,0
CUST00227,Customer_227,61,Married,Self-Employed,5,Owned,Middle,Bachelor,4,189-21-3295,FL,1
CUST00228,Customer_228,59,Divorced,Unemployed,1,Owned,Upper,Master,15,326-19-4448,TX,0
CUST00229,Customer_229,28,Divorced,Self-Employed,5,Leased,Upper,PhD,14,591-37-7010,TX,0
CUST00230,Customer_230,32,Divorced,Self-Employed,7,Owned,Lower,High School,3,743-45-1710,MI,1
CUST00231,Customer_231,73,Married,Employed,7,Rented,Lower,Bachelor,17,380-64-4529,TX,1
CUST00232,Customer_232,35,Married,Employed,7,Rented,Lower,Master,6,622-84-8083,IL,0
CUST00233,Customer_233,71,Single,Retired,7,Leased,Middle,Bachelor,9,660-18-7719,CA,0
CUST00234,Customer_234,40,Married,Employed,5,Rented,Lower,Bachelor,16,399-46-7273,GA,0
CUST00235,Customer_235,70,Single,Unemployed,5,Owned,Middle,High School,10,848-73-3710,NC,0
CUST00236,Customer_236,53,Widowed,Unemployed,1,Rented,Middle,PhD,6,504-42-5155,OH,0
CUST00237,Customer_237,24,Divorced,Employed,5,Rented,Middle,High School,7,780-95-4517,FL,0
CUST00238,Customer_238,34,Divorced,Employed,7,Rented,Middle,High School,15,393-88-2350,CA,0
CUST00239,Customer_239,77,Widowed,Self-Employed,6,Owned,Middle,Bachelor,4,451-94-8936,IL,1
CUST00240,Customer_240,30,Divorced,Unemployed,7,Leased,Middle,PhD,9,827-89-3133,NC,1
CUST00241,Customer_241,32,Married,Employed,2,Rented,Lower,High School,15,152-86-5425,TX,0
CUST00242,Customer_242,27,Married,Retired,2,Leased,Middle,Bachelor,17,326-52-8446,MI,0
CUST00243,Customer_243,55,Single,Self-Employed,7,Owned,Upper,High School,16,542-65-5619,WA,0
CUST00244,Customer_244,68,Divorced,Self-Employed,7,Leased,Middle,Master,7,533-94-9351,GA,0
CUST00245,Customer_245,76,Widowed,Retired,4,Owned,Middle,High School,4,481-82-7504,MI,0
CUST00246,Customer_246,72,Divorced,Employed,7,Leased,Lower,High School,18,216-85-7349,FL,0
CUST00247,Customer_247,72,Married,Retired,5,Owned,Middle,Bachelor,12,869-80-9410,GA,0
CUST00248,Customer_248,74,Married,Unemployed,2,Leased,Middle,Bachelor,8,586-15-3484,NC,0
CUST00249,Customer_249,53,Married,Self-Employed,4,Rented,Middle,High School,18,231-30-6151,NC,0
CUST00250,Customer_250,68,Married,Employed,3,Leased,Middle,Master,14,975-77-4930,NC,0
CUST00251,Customer_251,57,Single,Employed,6,Rented,Middle,Master,10,540-56-4695,TX,0
CUST00252,Customer_252,26,Married,Retired,3,Rented,Middle,Master,4,637-93-1905,WA,0
CUST00253,Customer_253,19,Single,Self-Employed,2,Leased,Middle,Master,2,420-17-8656,GA,0
CUST00254,Customer_254,24,Divorced,Retired,4,Rented,Middle,None,11,278-68-1587,TX,0
CUST00255,Customer_255,39,Widowed,Retired,4,Rented,Lower,Bachelor,3,528-89-9570,GA,0
CUST00256,Customer_256,48,Single,Self-Employed,7,Leased,Middle,Bachelor,6,233-68-3038,WA,0
CUST00257,Customer_257,57,Single,Self-Employed,1,Owned,Middle,Master,13,755-57-8183,CA,0
CUST00258,Customer_258,50,Widowed,Self-Employed,7,Owned,Middle,High School,1,905-41-1441,MI,1
CUST00259,Customer_259,40,Married,Unemployed,2,Rented,Middle,None,19,385-29-2120,NY,1
CUST00260,Customer_260,63,Married,Unemployed,2,Leased,Middle,Master,9,744-90-5672,FL,0
CUST00261,Customer_261,71,Widowed,Self-Employed,3,Rented,Middle,PhD,17,578-62-9084,IL,1
CUST00262,Customer_262,31,Widowed,Unemployed,4,Owned,Middle,Bachelor,4,115-56-8800,NC,0
CUST00263,Customer_263,34,Divorced,Unemployed,7,Rented,Middle,PhD,9,245-61-1067,TX,0
CUST00264,Customer_264,75,Single,Employed,4,Rented,Middle,None,19,850-68-9672,FL,1
CUST00265,Customer_265,78,Divorced,Unemployed,2,Rented,Middle,Master,13,369-75-7922,MI,0
CUST00266,Customer_266,37,Divorced,Retired,4,Rented,Lower,Bachelor,16,127-77-7403,FL,0
CUST00267,Customer_267,49,Married,Retired,7,Owned,Middle,PhD,14,652-60-8201,NY,0
CUST00268,Customer_268,53,Divorced,Self-Employed,6,Leased,Lower,None,15,193-44-3433,GA,0
CUST00269,Customer_269,57,Divorced,Employed,2,Leased,Middle,PhD,7,860-25-1545,FL,1
